"","Product","Name","Date","IndividualRating","Review"
"1","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle","Nicole","Reviewed in Australia on 24 February 2024","4.3 out of 5 stars","        Love this product. Smooths hair and smells lovely  "
"2","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle","Kage","Reviewed in Australia on 18 January 2024","5.0 out of 5 stars","        It was worked amazingly on my rough hair. I would highly recommend this product  "
"3","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle","Nicole","Reviewed in Australia on 24 February 2024","3.0 out of 5 stars","        This is a great product to use on my over bleached hair when needed... however use too much and you'll have a greasy look!  So lasts for ages!  "
"4","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle","Work amazingly on sore nipples. Will highly recommend this product.","Reviewed in Australia on 4 January 2024","5.0 out of 5 stars","        Second time buying this for my daughter who had beautiful girls at the end of her hair . Smells beautiful and is much cheaper on Amazon compared to in store!  "
"5","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle","Tracey","Reviewed in Australia on 6 January 2024","5.0 out of 5 stars","        Smells divine...adds shine ..reduces frizzy...feels lively and cool....this product rocks...I use this daily...  "
"6","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle","Alishafoa","Reviewed in Australia on 6 February 2024","5.0 out of 5 stars","        Love this product  "
"7","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle","michelle","Reviewed in Australia on 30 January 2024","5.0 out of 5 stars","        My son has long, curly hair that always got so matted. Since using this, it's so much easier to detangle, no more matting, so much better than other leave in conditioner sprays we've used in the past.  "
"8","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle","Debby Rader ","Reviewed in Australia on 6 March 2024","5.0 out of 5 stars","        A leave in conditioner that is not sticky in any way. Love this product  "
"9","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle","Nicole Mannyx","Reviewed in Australia on 1 February 2024","5.0 out of 5 stars","        Makes hair silky smooth and stops hair becoming frizzy.  Gives great shine.  Bought one for my daughter and she loves it too.  "
"10","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle","Anne Marie O'Shea","Reviewed in Australia on 19 January 2024","5.0 out of 5 stars","        I love this product because I can use it a few days in a row and it does not leave any noticeable residue but works to thicken and somehow condition my hair. It's perfect for my very thin hair... love it!!  "
"11","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle","Buddy","Reviewed in Australia on 4 November 2023","5.0 out of 5 stars",NA
"12","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle","Maryanne","Reviewed in Australia on 8 October 2023","5.0 out of 5 stars",NA
"13","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle",NA,NA,"5.0 out of 5 stars",NA
"14","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle","Nicole","Reviewed in Australia on 24 February 2024","4.3 out of 5 stars","        I like this product a lot. It brings a softness and a sheen to my hair. I was hoping it would tame my wild hair too, but it seems nothing can do that.  "
"15","HASK Argan Oil Repairing 5-in-1 Leave-In Conditioner for all hair types, colour safe, gluten-free, sulfate-free, paraben-free - 1 175 mL Bottle","Kage","Reviewed in Australia on 18 January 2024","5.0 out of 5 stars","        Have bought this item a few times. It Smells great and is really good to detangle the girls hair.  "
